City,Country,Lat,Lng,Max Temp,Humidity,Wind Speed,Cloudiness,Date
Bredasdorp,ZA,-34.53,20.04,44.6,87,1.12,99,1597645565
Cape Town,ZA,-33.93,18.42,48.99,81,9.17,20,1597645323
Camacha,PT,33.08,-16.33,71.6,83,6.93,20,1597645566
Atuona,PF,-9.8,-139.03,77.97,77,16.51,2,1597645566
Tupik,RU,54.43,119.93,60.48,52,12.08,100,1597645566
Hermanus,ZA,-34.42,19.23,44.01,91,7.45,100,1597645566
Hilo,US,19.73,-155.09,80.6,69,4.7,90,1597645567
Narsaq,GL,60.92,-46.05,44.6,70,4.7,0,1597645567
Jamestown,US,42.1,-79.24,64.0,100,3.36,90,1597645567
Bandarbeyla,SO,9.49,50.81,83.19,56,26.91,64,1597645567
Tutóia,BR,-2.76,-42.27,78.31,74,16.11,96,1597645568
Rikitea,PF,-23.12,-134.97,70.59,77,12.35,2,1597645568
Port Elizabeth,ZA,-33.92,25.57,42.8,81,4.7,88,1597645569
Storslett,NO,69.77,21.02,48.2,76,27.51,40,1597645569
Arzachena,IT,41.08,9.39,75.2,73,11.41,1,1597645570
Salalah,OM,17.02,54.09,77.0,100,4.7,90,1597645570
Husavik,IS,66.04,-17.34,48.2,93,3.36,15,1597645570
Barrow,US,71.29,-156.79,41.0,86,17.22,90,1597645570
Punta Arenas,CL,-53.15,-70.92,33.8,83,19.46,90,1597645571
Sozimskiy,RU,59.74,52.25,61.7,66,1.39,0,1597645571
Dubuque,US,42.48,-90.87,64.4,93,4.03,75,1597645571
Ngawi,ID,-7.4,111.45,94.23,37,6.93,3,1597645572
Kamaishi,JP,39.27,141.88,77.0,94,3.36,75,1597645572
Chokurdakh,RU,70.63,147.92,42.49,83,11.07,100,1597645572
Safford,US,32.83,-109.71,84.2,28,6.93,1,1597645572
Grand Gaube,MU,-20.01,57.66,75.0,67,11.01,1,1597645572
Cervo,ES,43.67,-7.41,64.0,91,9.1,100,1597645573
Pacific Grove,US,36.62,-121.92,73.4,64,4.7,1,1597645573
Vaini,TO,-21.2,-175.2,69.8,73,8.05,75,1597645573
Mataura,NZ,-46.19,168.86,44.01,86,1.01,38,1597645294
Diamantino,BR,-14.41,-56.45,75.33,37,3.36,37,1597645573
Comodoro Rivadavia,AR,-45.87,-67.5,44.6,52,19.46,10,1597645574
Paceco,IT,37.98,12.56,75.2,88,2.24,20,1597645574
Longhua,CN,23.61,114.19,92.73,50,5.39,12,1597645574
Noshiro,JP,40.2,140.02,75.2,94,4.7,75,1597645574
Necochea,AR,-38.55,-58.74,32.0,4,8.01,3,1597645575
Ushuaia,AR,-54.8,-68.3,32.0,93,6.93,75,1597645290
Marquette,US,46.53,-87.63,61.0,81,6.62,2,1597645575
Keila,EE,59.3,24.41,62.6,63,6.93,0,1597645575
Saskylakh,RU,71.92,114.08,68.72,31,4.41,57,1597645576
Udayagiri,IN,20.13,84.38,75.56,89,4.38,98,1597645576
Longyearbyen,SJ,78.22,15.64,44.6,75,3.36,75,1597645576
Avarua,CK,-21.21,-159.78,69.8,68,2.24,79,1597645576
Mar del Plata,AR,-38.0,-57.56,43.0,74,3.36,17,1597645576
Bethel,US,41.37,-73.41,61.0,93,4.47,1,1597645577
Busselton,AU,-33.65,115.33,53.01,88,7.0,82,1597645577
Galle,LK,6.04,80.22,83.32,75,11.01,57,1597645578
Gravdal,NO,68.12,13.5,50.0,71,13.87,40,1597645578
Havøysund,NO,71.0,24.66,48.2,70,18.34,40,1597645578
Pisco,PE,-13.7,-76.22,55.4,82,2.24,40,1597645578
Krasnyy Chikoy,RU,50.36,108.75,65.23,56,2.26,100,1597645580
Puerto Ayora,EC,-0.74,-90.35,63.0,91,7.87,33,1597645298
Mandalgovi,MN,45.76,106.27,71.49,37,15.43,0,1597645580
Hobart,AU,-42.88,147.33,57.0,81,9.17,75,1597645580
Kearney,US,40.7,-99.08,68.0,82,10.25,1,1597645410
Arlit,NE,18.74,7.39,87.91,34,9.37,14,1597645581
Tuktoyaktuk,CA,69.45,-133.04,51.8,93,4.7,90,1597645581
Mildura,AU,-34.2,142.15,64.4,42,17.22,34,1597645581
Atasū,KZ,48.68,71.64,75.4,28,9.06,15,1597645581
Saint Paul Harbor,US,57.79,-152.41,57.2,82,4.7,1,1597645581
Resistencia,AR,-27.46,-58.98,50.0,93,4.7,0,1597645583
Broome,US,42.25,-75.83,61.0,87,5.82,90,1597645583
Beringovskiy,RU,63.05,179.32,51.82,90,12.39,100,1597645583
Pangody,RU,65.85,74.49,54.28,86,4.32,99,1597645583
Constitución,CL,-35.33,-72.42,45.5,78,5.53,0,1597645584
Herat Province,AF,34.5,62.0,87.8,27,3.36,0,1597645584
Ngama,TD,11.78,17.17,74.14,91,7.96,86,1597645584
Nador,MA,35.17,-2.93,77.0,38,3.36,2,1597645584
Lebu,CL,-37.62,-73.65,46.6,85,8.81,64,1597645585
Inírida,CO,3.87,-67.92,73.76,97,3.31,84,1597645585
Norman Wells,CA,65.28,-126.83,51.8,87,3.36,75,1597645326
Cherskiy,RU,68.75,161.3,46.99,64,14.29,89,1597645586
Bluff,NZ,-46.6,168.33,44.01,86,1.01,45,1597645586
Namatanai,PG,-3.67,152.43,82.35,77,9.19,60,1597645586
